top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
    627 root       0 -20       0      0      0 I   0,0   0,0   0:00.28 kworker+
    630 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/156+
    631 root       0 -20       0      0      0 I   0,0   0,0   0:00.46 kworker+
    632 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    636 root       0 -20       0      0      0 I   0,0   0,0   0:01.07 kworker+
    649 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 led_wor+
    650 root       0 -20       0      0      0 I   0,0   0,0   0:00.44 kworker+
    651 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    654 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 led_wor+
    657 root     -51   0       0      0      0 S   0,0   0,0   1:32.76 irq/157+
    659 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/158+
    660 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/159+
    661 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/160+
    662 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/161+
    664 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/162+
    667 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/163+
    670 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/164+
    673 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/165+
    675 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/166+
    678 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/167+
    679 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/168+
    680 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/169+
    682 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/170+
    684 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/171+
    686 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/172+
    777 root       0 -20       0      0      0 I   0,0   0,0   0:04.64 kworker+
    873 systemd+  20   0   25616   3188   2524 S   0,0   0,0   2:10.49 systemd+
    874 systemd+  20   0   90916    672    480 S   0,0   0,0   0:13.91 systemd+
    910 root      20   0  239928   2052      0 S   0,0   0,0   1:55.62 account+
    911 root      20   0    2548      0      0 S   0,0   0,0   0:00.01 acpid
    914 avahi     20   0    8540    256      0 S   0,0   0,0   0:32.97 avahi-d+
    916 root      20   0    8376    284      0 S   0,0   0,0   0:00.05 bluetoo+
    918 root      20   0    9760   1688   1524 S   0,0   0,0   0:11.18 cron
    922 message+  20   0   10144   4512   1992 S   0,0   0,0  11:27.16 dbus-da+
    927 root      20   0  549876   8560   5272 S   0,0   0,0 107:13.03 Network+
    932 root      20   0   81992    992    812 S   0,0   0,0   9:27.72 irqbala+
    934 root      20   0   40072    408      4 S   0,0   0,0   0:00.04 network+
    938 root      20   0  241532   6276   1564 S   0,0   0,0   2:24.54 polkitd
    942 syslog    20   0  224528   2508   1304 S   0,0   0,0   0:12.39 rsyslogd
    951 root      20   0  235952      8      0 S   0,0   0,0   0:00.01 switche+
    956 root      20   0   17832   3828   3088 S   0,0   0,0   0:17.70 systemd+
    958 root      20   0  126612    544    248 S   0,0   0,0   6:03.47 thermald
    960 root      20   0  393996   7444   4620 S   0,0   0,0   3:04.20 udisksd
    962 root      20   0   14076   1788   1392 S   0,0   0,0   3:42.24 wpa_sup+
    969 avahi     20   0    8348     36      0 S   0,0   0,0   0:00.00 avahi-d+
   1022 root      20   0 3051368  13668   7844 S   0,0   0,0  80:01.05 contain+
   1033 root      20   0  315116    804      0 S   0,0   0,0   0:01.34 ModemMa+
   1101 root      20   0  118380      0      0 S   0,0   0,0   0:00.02 unatten+
   1247 root      20   0 2935212  26736   8868 S   0,0   0,0  20:05.72 dockerd
   1318 root      20   0 2095756  12580   2420 S   0,0   0,0  65:53.22 contain+
   1690 root      20   0 2925004  12372      0 S   0,0   0,0  39:34.28 dockerd
   1693 whoopsie  20   0  253128    792      0 S   0,0   0,0   0:01.04 whoopsie
   1702 kernoops  20   0   11268    920    824 S   0,0   0,0   3:45.49 kernelo+
   1704 kernoops  20   0   11268    100      0 S   0,0   0,0   3:46.52 kernelo+
