Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Natural Language Processing,roformer_chinese_base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,roformer_small_generator,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2025.3
Video Classification,s3d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,sbert-base-mean-tokens,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,sd-turbo,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,sd-turbo,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,sd-turbo,pytorch,INT8-HYBRID,OpenVINO,,passed,,OpenVINO 2025.3
Image Classification,sebotnet33ts_256,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,sehalonet33ts,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,selecsls42b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,semnasnet_075.rmsp_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,sequencer2d_m,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,seresnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-101,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-101,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-101,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-50,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-50,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-50,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-50,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,se-resnext-50,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,seresnext50_32x4d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,shufflenet,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,shufflenet,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,shufflenet_v2_x0_5,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet_v2_x1_5,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet_v2_x2_0,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x0.5,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x0.5,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,shufflenet-v2-x1.0,pytorch,FP32-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,simmim_swin_transformer,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Object Detection,single-human-pose-estimation-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,single-human-pose-estimation-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",single-image-super-resolution-1032,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",single-image-super-resolution-1032,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",single-image-super-resolution-1033,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
"Image Processing, Enhancement ",single-image-super-resolution-1033,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,skresnet34,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,skresnext50_32x4d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,small-base,pytorch,FP32,torch.compile,passed,passed,,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0002,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0003,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0003,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0004,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0004,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,smartlab-object-detection-0004,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Speech Recognition,speech_transformer,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,splinter-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,spnasnet_100.rmsp_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,spnasnet-100,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,spnasnet-100,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,spnasnet-100,onnx,FP16,OpenVINO,,,passed,OpenVINO 2025.3
Image Classification,spnasnet-100,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,spnasnet-100,pytorch,FP32-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Natural Language Processing,squeezebert-uncased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.0,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1.0,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,squeezenet1.0,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1.0,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1.0,pytorch,FP32-INT8,OpenVINO,passed,,,OpenVINO 2025.3
Image Classification,squeezenet1.1,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1,tf,INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,squeezenet1_1,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",srgan,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd_mobilenet_v1_coco,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd_mobilenet_v1_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd_mobilenet_v1_coco,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd_mobilenet_v1_fpn_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,ssd_mobilenet_v2_coco,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,ssd_mobilenet_v2_coco,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,ssd_mobilenet_v2_coco,tf,INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,ssd_mobilenet_v2_coco,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd_resnet50_v1_fpn_coco,tf2,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Object Detection,ssd_resnet50_v1_fpn_coco,tf2,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd300_vgg16,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd300-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd300-onnx-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd300-onnx-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd300-onnx-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssdlite_mobilenet_v2,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssdlite_mobilenet_v2,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssdlite_mobilenet_v2,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssdlite320_mobilenet_v3_large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssdlite-mobilenet-v3-small-320-coco,paddle,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssdlite-mobilenet-v3-small-320-coco,paddle,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,ssd-resnet34-1200,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-resnet34-1200,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-resnet34-1200,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-resnet34-300x300,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-resnet34-300x300,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-resnet34-300x300,tf,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2025.3
Object Detection,ssd-vgg16,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-vgg16,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Object Detection,ssd-vgg16,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,ssl_resnext101_32x8d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,INT8-HYBRID,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-medium,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-medium,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-medium,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-3.5-medium,pytorch,INT8-HYBRID,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-text-encoder,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-text-encoder,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-unet,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-unet,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-vae-decoder,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-vae-decoder,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-vae-encoder,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-4-vae-encoder,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-5,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-5,pytorch,FP8-STATIC,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-5,pytorch,INT8-CW,OpenVINO,,passed,passed,OpenVINO 2025.3
Image Generation,stable-diffusion-v1-5,pytorch,INT8-HYBRID,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v2-1,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v2-1,pytorch,INT8-HYBRID,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-v2-1,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-xl-1.0-inpainting-0.1,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2025.3
Image Generation,stable-diffusion-xl-1.0-inpainting-0.1,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-2-1_6b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-2-1_6b-chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-2-12b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-2-12b-chat,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-2-zephyr-1_6b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-3b-4e1t,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Large Language Model,stablelm-3b-4e1t,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Large Language Model,stablelm-3b-4e1t,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-3b-4e1t,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-base-alpha-3b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-tuned-alpha-7b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stablelm-zephyr-3b,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2025.3
Large Language Model,stable-zephyr-3b-dpo,pytorch,INT8-CW,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Large Language Model,stable-zephyr-3b-dpo,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Large Language Model,stable-zephyr-3b-dpo,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Object Detection,stacked_hourglass,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Large Language Model,starcoder,pytorch,INT4-MIXED,OpenVINO,passed,,,OpenVINO 2025.3
Large Language Model,starcoder,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2025.3
Large Language Model,starcoder,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Large Language Model,starcoder2-15b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2025.3
Large Language Model,starcoder2-15b,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Large Language Model,starcoder2-15b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2025.3
Spatial Transformer Network,STN,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Spatial Transformer Network,STN,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Spatial Transformer Network,STN,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,style_transfer,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,style_transfer,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,style_transfer,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,stylegan2,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,stylegan2,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Processing ,stylegan2,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Video Processing ,Super_SloMo,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,sup-simcse-roberta-base,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2025.3
Image Classification,swin_b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_base_patch4_window7_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_t,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_tiny_patch4_window7_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_tiny_patch4_window7_224.ms_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_v2_b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_v2_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin_v2_t,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",swin2sr-realworld-sr-x4-64-bsrgan-psnr,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,swin3d_b,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin3d_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin3d_t,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin-tiny-patch4-window7-224,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin-tiny-patch4-window7-224,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,swinv2_small_window8_256,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swsl_resnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,swsl_resnext101_32x4d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Classification,t2t-vit-14,onnx,FP32,OpenVINO,,,passed,OpenVINO 2025.3
Image Classification,t2t-vit-14,onnx,FP16,OpenVINO,,,passed,OpenVINO 2025.3
Image Classification,t2t-vit-14,onnx,FP16-INT8,OpenVINO,,,passed,OpenVINO 2025.3
Image Classification,t2t-vit-7,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,t2t-vit-7,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Image Classification,t2t-vit-7,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,t5-base,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2025.3
Natural Language Processing,t5-small,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Natural Language Processing,t5-small,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2025.3
Natural Language Processing,t5-small,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2025.3
Natural Language Processing,t5-small,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Text to Speech,tacotron_2,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text to Speech,tacotron_2,onnx,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Text Detection,text-detection-0003,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-detection-0003,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-detection-0004,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-detection-0004,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-detection-0004,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2025.3
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Text Detection,text-recognition-0012,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Text Detection,text-recognition-0012,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Text Detection,text-recognition-0012,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Text Detection,text-recognition-0013,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-recognition-0013,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-recognition-0014,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-recognition-0014,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-recognition-0015,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Text Detection,text-recognition-0015,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Text Detection,text-recognition-0016,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Text Detection,text-recognition-0016,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Text Detection,text-recognition-resnet-fc,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-recognition-resnet-fc,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-spotting-0001,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-spotting-0001,onnx,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Text Detection,text-spotting-0003,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-spotting-0003,onnx,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Text Detection,text-spotting-0004,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2025.3
Text Detection,text-spotting-0004,onnx,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Text Detection,text-spotting-0005,onnx,FP32,OpenVINO,passed,,,OpenVINO 2025.3
Text Detection,text-spotting-0005,onnx,FP16,OpenVINO,passed,,,OpenVINO 2025.3
Text to Speech,text-to-speech-en-0001,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Text to Speech,text-to-speech-en-0001,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Text to Speech,text-to-speech-en-multi-0001,onnx,FP32,OpenVINO,passed,,passed,OpenVINO 2025.3
Text to Speech,text-to-speech-en-multi-0001,onnx,FP16,OpenVINO,passed,,passed,OpenVINO 2025.3
Image Classification,tf_inception_v3,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2025.3
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2025.3
Natural Language Processing,tiny_sd_text_encoder,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
Image Generation,tiny_sd_unet,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2025.3
