Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Colorization,colorization-siggraph,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Colorization,colorization-siggraph,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Colorization,colorization-v2,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Colorization,colorization-v2,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Colorization,colorization-v2,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,common-sign-language-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,common-sign-language-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,common-sign-language-0002,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,common-sign-language-0002,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,common-sign-language-0002,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,contriever,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,convbert-base-turkish-mc4-toxicity-uncased,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,convit_small,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convmixer_1024_20_ks9_p14,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext_base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext_large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext_large.fb_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext_small,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext_tiny,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext-base-224,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,convnext-tiny,onnx,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,convnext-tiny,pytorch,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnext-tiny,onnx,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,convnext-tiny,pytorch,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,convnext-tiny,pytorch,FP16-INT8,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,convnext-tiny,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnextv2_large.fcmae_ft_in22k_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,convnextv2-tiny-1k-224,pytorch,FP16,OpenVINO,,,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16,OpenVINO,,passed,,OpenVINO 2026.2
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16-INT8,OpenVINO,,passed,,OpenVINO 2026.2
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Text Recognition,crnn-tf,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Recognition,crnn-tf,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Recognition,crnn-tf,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,crossvit_15_dagger_240,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,crossvit_small_240,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cs3darknet_focus_m,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cs3darknet_m,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cs3edgenet_x,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cs3se_edgenet_x,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cs3sedarknet_l,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cspdarknet53,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cspresnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,cspresnext50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,ctdet_coco_dlav0_512,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,ctdet_coco_dlav0_512,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
